cif,status,atoms_before,atoms_after,guests_removed,guest_formulas,n_framework_comps
226,clean_already,672,672,0,,3
23,clean_already,222,222,0,,1
230,clean_already,360,360,0,,1
232,clean_already,104,104,0,,1
239,clean_already,120,120,0,,1
24,clean_already,234,234,0,,1
240,clean_already,282,282,0,,1
241,clean_already,282,282,0,,1
243,clean_already,99,99,0,,1
245,clean_already,72,72,0,,1
246,clean_already,144,144,0,,2
247,clean_already,72,72,0,,1
248,clean_already,144,144,0,,2
25,clean_already,282,282,0,,1
250,clean_already,126,126,0,,1
251,clean_already,158,158,0,,1
252,clean_already,218,218,0,,1
253,clean_already,324,324,0,,2
254,clean_already,240,240,0,,1
256,clean_already,130,130,0,,1
257,clean_already,228,228,0,,2
258,clean_already,168,168,0,,1
259,clean_already,180,180,0,,1
26,clean_already,342,342,0,,1
262,clean_already,96,96,0,,1
263,clean_already,60,60,0,,1
264,clean_already,188,188,0,,1
265,clean_already,188,188,0,,1
266,clean_already,114,114,0,,1
267,guests_removed,218,186,32,1xC20H12,1
268,clean_already,114,114,0,,1
269,clean_already,141,141,0,,1
270,clean_already,126,126,0,,1
275,clean_already,740,740,0,,1
276,clean_already,804,804,0,,1
277,clean_already,210,210,0,,1
278,clean_already,420,420,0,,1
279,clean_already,420,420,0,,1
28,clean_already,200,200,0,,1
280,clean_already,234,234,0,,1
281,clean_already,468,468,0,,1
282,clean_already,468,468,0,,1
283,clean_already,516,516,0,,1
284,clean_already,516,516,0,,1
289,clean_already,398,398,0,,1
29,clean_already,36,36,0,,1
291,clean_already,60,60,0,,1
292,clean_already,114,114,0,,1
293,clean_already,180,180,0,,1
294,clean_already,356,356,0,,1
295,clean_already,372,372,0,,1
296,clean_already,135,135,0,,1
297,clean_already,171,171,0,,1
298,clean_already,177,177,0,,1
299,clean_already,250,250,0,,1
3,clean_already,207,207,0,,1
30,clean_already,36,36,0,,1
309,clean_already,222,222,0,,1
310,clean_already,168,168,0,,1
312,clean_already,96,96,0,,1
313,clean_already,94,94,0,,1
314,clean_already,92,92,0,,1
315,clean_already,96,96,0,,1
316,clean_already,90,90,0,,1
317,clean_already,54,54,0,,1
318,clean_already,98,98,0,,2
320,clean_already,155,155,0,,1
321,clean_already,98,98,0,,1
323,clean_already,140,140,0,,1
324,clean_already,324,324,0,,3
325,clean_already,72,72,0,,1
329,clean_already,120,120,0,,1
33,clean_already,126,126,0,,1
330,clean_already,126,126,0,,1
331,clean_already,84,84,0,,2
332,clean_already,276,276,0,,2
333,clean_already,102,102,0,,1
334,clean_already,102,102,0,,1
336,clean_already,224,224,0,,1
337,clean_already,108,108,0,,1
338,clean_already,87,87,0,,1
339,clean_already,132,132,0,,1
34,clean_already,252,252,0,,2
340,clean_already,138,138,0,,1
341,clean_already,144,144,0,,1
343,clean_already,57,57,0,,1
348,clean_already,67,67,0,,1
349,clean_already,194,194,0,,1
35,clean_already,42,42,0,,1
350,clean_already,130,130,0,,1
352,clean_already,210,210,0,,1
355,clean_already,96,96,0,,1
356,clean_already,54,54,0,,1
357,clean_already,150,150,0,,1
358,clean_already,464,464,0,,2
359,clean_already,464,464,0,,2
360,clean_already,528,528,0,,2
361,clean_already,528,528,0,,1
362,clean_already,768,768,0,,2
363,clean_already,232,232,0,,1
364,clean_already,154,154,0,,1
365,clean_already,126,126,0,,1
366,clean_already,328,328,0,,1
367,clean_already,212,212,0,,2
368,clean_already,150,150,0,,1
369,clean_already,162,162,0,,1
37,clean_already,60,60,0,,1
370,clean_already,234,234,0,,1
371,clean_already,468,468,0,,2
372,clean_already,468,468,0,,2
374,clean_already,180,180,0,,1
375,clean_already,220,220,0,,1
376,clean_already,196,196,0,,1
377,clean_already,222,222,0,,1
378,clean_already,192,192,0,,1
379,clean_already,216,216,0,,1
38,clean_already,60,60,0,,1
382,clean_already,188,188,0,,1
383,clean_already,376,376,0,,2
384,clean_already,220,220,0,,1
385,clean_already,220,220,0,,1
386,clean_already,196,196,0,,1
387,clean_already,236,236,0,,1
388,clean_already,220,220,0,,1
39,clean_already,120,120,0,,1
390,clean_already,316,316,0,,1
395,clean_already,236,236,0,,1
396,clean_already,148,148,0,,1
4,clean_already,228,228,0,,1
40,clean_already,78,78,0,,1
400,clean_already,196,196,0,,1
402,clean_already,436,436,0,,1
404,clean_already,108,108,0,,1
405,clean_already,152,152,0,,1
406,clean_already,464,464,0,,1
409,clean_already,204,204,0,,1
410,clean_already,57,57,0,,1
411,clean_already,58,58,0,,1
412,clean_already,204,204,0,,1
413,clean_already,592,592,0,,2
415,clean_already,168,168,0,,1
417,clean_already,252,252,0,,1
418,clean_already,312,312,0,,1
419,clean_already,424,424,0,,2
420,clean_already,544,544,0,,2
421,clean_already,72,72,0,,1
422,clean_already,116,116,0,,1
423,clean_already,118,118,0,,1
424,clean_already,204,204,0,,1
425,clean_already,204,204,0,,1
426,clean_already,204,204,0,,1
427,clean_already,138,138,0,,1
428,clean_already,138,138,0,,1
429,clean_already,306,306,0,,1
43,clean_already,168,168,0,,1
430,clean_already,306,306,0,,1
431,clean_already,138,138,0,,1
432,clean_already,356,356,0,,1
433,clean_already,114,114,0,,1
437,clean_already,166,166,0,,1
438,clean_already,142,142,0,,1
439,clean_already,168,168,0,,1
44,clean_already,220,220,0,,1
440,clean_already,144,144,0,,1
441,clean_already,162,162,0,,1
442,clean_already,110,110,0,,1
446,clean_already,156,156,0,,1
447,clean_already,300,300,0,,2
448,clean_already,126,126,0,,1
449,clean_already,252,252,0,,2
45,clean_already,168,168,0,,1
450,clean_already,60,60,0,,1
451,clean_already,79,79,0,,1
452,clean_already,87,87,0,,1
456,clean_already,108,108,0,,2
457,clean_already,126,126,0,,1
458,clean_already,162,162,0,,1
459,clean_already,123,123,0,,1
461,clean_already,108,108,0,,1
462,clean_already,87,87,0,,1
463,clean_already,78,78,0,,1
464,clean_already,54,54,0,,1
472,clean_already,150,150,0,,1
475,clean_already,129,129,0,,1
476,guests_removed,350,264,86,2xC12H18N3O1;1xC8H8O2,1
477,clean_already,114,114,0,,1
478,clean_already,96,96,0,,1
479,clean_already,138,138,0,,1
480,clean_already,138,138,0,,1
481,clean_already,276,276,0,,2
482,clean_already,114,114,0,,1
483,clean_already,114,114,0,,1
484,clean_already,150,150,0,,1
485,clean_already,138,138,0,,1
486,clean_already,276,276,0,,2
487,clean_already,71,71,0,,1
488,clean_already,79,79,0,,1
49,clean_already,552,552,0,,1
490,clean_already,450,450,0,,3
491,clean_already,198,198,0,,1
492,clean_already,174,174,0,,1
493,clean_already,210,210,0,,1
495,clean_already,87,87,0,,1
496,clean_already,168,168,0,,2
498,clean_already,69,69,0,,1
499,clean_already,90,90,0,,1
5,clean_already,236,236,0,,2
50,clean_already,600,600,0,,1
500,clean_already,138,138,0,,1
501,clean_already,60,60,0,,1
502,clean_already,186,186,0,,1
506,clean_already,88,88,0,,1
507,clean_already,96,96,0,,1
508,clean_already,71,71,0,,1
509,clean_already,79,79,0,,1
51,clean_already,558,558,0,,1
510,clean_already,76,76,0,,1
511,clean_already,352,352,0,,2
512,clean_already,71,71,0,,1
513,clean_already,78,78,0,,1
514,clean_already,108,108,0,,1
515,clean_already,216,216,0,,1
516,clean_already,102,102,0,,1
517,clean_already,120,120,0,,1
519,clean_already,114,114,0,,1
52,clean_already,1116,1116,0,,2
520,clean_already,96,96,0,,1
521,clean_already,120,120,0,,1
522,clean_already,144,144,0,,1
523,clean_already,150,150,0,,1
524,clean_already,114,114,0,,1
525,clean_already,144,144,0,,1
526,clean_already,114,114,0,,1
527,clean_already,216,216,0,,2
528,clean_already,252,252,0,,2
529,clean_already,192,192,0,,2
530,clean_already,96,96,0,,1
531,clean_already,126,126,0,,1
532,clean_already,132,132,0,,1
533,clean_already,72,72,0,,1
534,clean_already,132,132,0,,1
535,clean_already,264,264,0,,2
536,clean_already,480,480,0,,1
537,clean_already,360,360,0,,1
538,clean_already,114,114,0,,1
539,clean_already,96,96,0,,1
54,clean_already,96,96,0,,1
540,clean_already,300,300,0,,1
541,clean_already,284,284,0,,1
542,clean_already,300,300,0,,1
543,clean_already,108,108,0,,1
546,clean_already,248,248,0,,1
547,clean_already,105,105,0,,1
548,clean_already,192,192,0,,2
549,clean_already,27,27,0,,1
55,clean_already,528,528,0,,2
550,clean_already,126,126,0,,1
551,clean_already,132,132,0,,1
552,clean_already,114,114,0,,1
553,guests_removed,131,126,5,1xC3H2,1
554,clean_already,90,90,0,,1
555,clean_already,191,191,0,,2
556,clean_already,138,138,0,,2
557,clean_already,72,72,0,,1
559,clean_already,90,90,0,,1
561,clean_already,78,78,0,,1
562,clean_already,156,156,0,,2
563,clean_already,192,192,0,,2
564,clean_already,138,138,0,,2
572,clean_already,114,114,0,,1
573,clean_already,96,96,0,,1
574,clean_already,156,156,0,,1
575,clean_already,174,174,0,,2
576,clean_already,252,252,0,,2
577,clean_already,76,76,0,,1
578,clean_already,83,83,0,,1
579,clean_already,81,81,0,,1
580,clean_already,132,132,0,,1
581,clean_already,114,114,0,,1
582,clean_already,162,162,0,,1
583,clean_already,174,174,0,,1
584,clean_already,96,96,0,,1
585,clean_already,192,192,0,,2
589,clean_already,87,87,0,,1
590,clean_already,87,87,0,,1
591,clean_already,57,57,0,,1
592,clean_already,126,126,0,,1
593,clean_already,57,57,0,,1
